"yr","blk","a1","a2","a3","a4","a5","a7","a8","a9","a10","a11","a12","bonus","pf","welfare","mwdays","nwdays","wdays","costop","expshare","mult"
"24","A","114062","99999",1,"9999","24106","09","99",1,"9999",1,1,204300,179300,25200,307,0,307,286373539,0,1
"24","A","114063","99999",1,"9999","24108","09","99",2,"9999",1,1,3796800,6973600,6496000,308,0,308,5556600799,0,1
"24","A","114065","99999",1,"9999","24103","09","99",2,"9999",1,1,1871000,2328000,50236000,306,0,306,11834663000,0,1
"24","A","114066","99999",1,"9999","24105","09","99",1,"9999",1,1,0,1361281,115417,292,0,292,539094670,0,1
"24","A","114067","99999",1,"9999","24109","09","99",2,"9999",1,1,3505000,13449000,14165000,302,0,302,6092240600,0,1
"24","A","114068","99999",1,"9999","24103","09","99",1,"9999",1,1,1145479,1997121,0,307,0,307,11922071227,0,1
"24","A","114069","99999",1,"9999","24105","09","99",1,"9999",1,1,626411,1667484,0,308,0,308,321391063,0,1
"24","A","114070","99999",1,"9999","24106","09","99",1,"9999",2,1,483900,543670,1062500,307,0,307,541238645,0,1
"24","A","114071","99999",1,"9999","24103","09","99",1,"9999",1,1,343000,275000,0,306,0,306,1545658000,0,1
"24","A","114072","99999",1,"9999","24103","09","99",1,"9999",1,1,0,60571,0,103,199,302,308360412,0,1
"24","A","114073","99999",1,"9999","24105","09","99",1,"9999",1,7,0,0,0,0,0,0,0,0,0
"24","A","114074","99999",1,"9999","24103","09","99",1,"9999",1,4,0,0,0,0,0,0,0,0,1
"24","A","114075","99999",1,"9999","24102","09","99",1,"9999",1,1,15000,1764000,50000,311,0,311,1837376552,0,1
"24","A","114076","99999",1,"9999","24101","09","99",1,"9999",1,1,2319387,6301655,2523537,305,0,305,11664710368,0,1
"24","A","114077","99999",1,"9999","24101","09","99",1,"9999",1,1,502942,572561,686670,311,0,311,143361107,0,1
"24","A","114078","99999",1,"9999","24101","09","99",2,"9999",1,1,0,0,0,220,0,220,58609257,0,1
"24","A","114079","99999",1,"9999","24103","09","99",1,"9999",1,1,0,138354,45610,306,0,306,695221682,0,1
